date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:48	17173/17173	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/404.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/404.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:49	38740/38740	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:31%20GMT	http://themelooks.net/demo/serviney/html/preview/services.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/services.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:50	41189/41189	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/cable-tv.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/cable-tv.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:51	42603/42603	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/dedicated-server.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/dedicated-server.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:52	42752/42752	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/internet.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/internet.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:52	42713/42713	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/mobile.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/mobile.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:53	30434/30434	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:53	37862/37862	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog-sidebar-left.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog-sidebar-left.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:54	37851/37851	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog-sidebar-right.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog-sidebar-right.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:54	30630/30630	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog-2-columns.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog-2-columns.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:55	30783/30783	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog-3-columns.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog-3-columns.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:55	39096/39096	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:30%20GMT	http://themelooks.net/demo/serviney/html/preview/blog-details.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/blog-details.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:56	29041/29041	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:31%20GMT	http://themelooks.net/demo/serviney/html/preview/products-2-columns.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/products-2-columns.html	(from http://themelooks.net/demo/serviney/html/preview/)
10:57:56	38378/38378	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Jul%202018%2006:37:31%20GMT	http://themelooks.net/demo/serviney/html/preview/products-3-columns.html	C:/Users/Thomas/Desktop/perso/Arcoch/Conciergerie/themelooks.net/demo/serviney/html/preview/products-3-columns.html	(from http://themelooks.net/demo/serviney/html/preview/)
